Designator,Mid X,Mid Y,Rotation,Layer
C1,149.48,-71.76,270.0,top
C10,165.35,-83.24,0.0,top
C11,143.8925,-90.6575,0.0,top
C12,170.16,-82.39,0.0,top
C13,174.08,-79.5,0.0,top
C14,174.05,-81.9,0.0,top
C15,142.18,-83.24,180.0,top
C16,140.2625,-92.1175,0.0,top
C17,135.5725,-92.1275,0.0,top
C18,174.1,-100.72,0.0,top
C19,174.31,-108.77,0.0,top
C2,147.12,-71.76,90.0,top
C20,172.11,-122.02,90.0,top
C21,176.72,-117.33,90.0,top
C22,176.14,-112.42,90.0,top
C23,174.88,-121.68,270.0,top
C24,175.06,-96.32,0.0,top
C25,154.63,-88.99,180.0,top
C26,158.45,-88.94,0.0,top
C27,154.88,-96.25,0.0,top
C28,154.16,-93.15,270.0,top
C29,157.1,-93.92,0.0,top
C3,142.35,-75.74,0.0,top
C30,156.27,-92.0,0.0,top
C31,158.334608,-92.046054,180.0,top
C32,158.35,-90.7,0.0,top
C33,156.22,-90.7,0.0,top
C34,151.51,-100.34,0.0,top
C35,142.455,-101.795,0.0,top
C36,144.42,-98.39,180.0,top
C37,151.09,-98.34,0.0,top
C38,136.73,-104.46,0.0,top
C4,142.32,-79.52,0.0,top
C42,137.34,-75.1625,180.0,top
C43,161.83,-106.18,90.0,top
C44,159.97,-105.46,90.0,top
C45,150.49,-114.96,270.0,top
C5,153.59,-73.04,0.0,top
C6,155.02,-76.17,270.0,top
C7,161.71,-77.53,0.0,top
C8,160.49,-74.09,0.0,top
C9,170.15,-75.92,0.0,top
CARD1,141.35,-118.49,0.0,top
CNEXTTOTEN1,170.1,-78.86,0.0,top
D1,146.59,-83.2,270.0,top
J1,135.715,-67.5425,180.0,top
J2,147.6,-67.06,90.0,top
J3,157.97,-67.06,90.0,top
L1,143.39,-72.5,0.0,top
L2,165.31,-73.94,0.0,top
L3,137.0525,-87.0075,0.0,top
L4,163.99,-101.24,270.0,top
R1,174.82,-72.6,270.0,top
R10,159.15,-77.34,270.0,top
R11,157.66,-77.31,270.0,top
R12,160.35,-79.86,0.0,top
R13,160.43,-81.95,180.0,top
R14,138.2225,-89.9275,180.0,top
R15,135.1525,-89.9375,0.0,top
R16,136.61,-108.64,270.0,top
R17,134.35,-108.6,270.0,top
R18,146.04,-108.67,270.0,top
R19,143.87,-108.71,270.0,top
R2,170.78,-72.36,270.0,top
R20,141.58,-108.72,270.0,top
R21,139.39,-108.72,270.0,top
R22,173.26,-112.5,270.0,top
R23,170.6,-112.47,270.0,top
R24,141.13,-97.15,0.0,top
R25,140.66,-69.13,270.0,top
R26,137.29,-72.9025,180.0,top
R27,159.48,-107.2,0.0,top
R3,149.11,-83.21,270.0,top
R4,147.83,-83.2,90.0,top
R5,150.36,-83.2,90.0,top
R6,154.6,-78.69,0.0,top
R7,152.32,-75.62,180.0,top
R8,152.26,-77.0,0.0,top
R9,157.66,-75.2,270.0,top
SW1,136.73,-101.19,0.0,top
SW2,136.72,-97.13,0.0,top
U1,147.8,-76.86,0.0,top
U2,167.115519,-92.741181,315.0,top
U3,173.42,-117.02,0.0,top
U4,165.14,-79.92,0.0,top
U5,142.18,-87.2675,180.0,top
U6,174.08,-104.77,0.0,top
U8,159.775,-116.9,0.0,top
USB1,172.57,-67.68,180.0,top
X1,147.33,-101.81,0.0,top
X2,147.73,-98.21,0.0,top
